calendar_month,commits,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,threshold_label,commit_ai_fraction
2017-06,1,1,1.0,0.9699205045008519,medium,1.0
2019-04,1,1,1.0,0.7348442633208941,medium,1.0
2019-05,8,1,0.125,0.10822497278347537,medium,0.125
2019-10,1,1,0.9297520661157025,0.8948315264867417,medium,1.0
2020-01,1,0,0.0,0.25055558675022743,medium,0.0
2020-02,1,1,1.0,0.9452395393388531,medium,1.0
2020-03,1,0,0.0,0.0,medium,0.0
2020-04,4,2,0.44904458598726116,0.4399404730718755,medium,0.5
2020-05,1,1,0.625,0.8943218518424867,medium,1.0
2020-06,3,3,0.5898813201524046,0.7207970402299607,medium,1.0
2020-07,1,0,0.0,0.0,medium,0.0
2020-08,3,2,0.4615384615384615,0.5920368811695869,medium,0.6666666666666666
2020-09,1,0,0.0,0.0,medium,0.0
2020-10,3,2,0.5419501133786848,0.7268562074410516,medium,0.6666666666666666
2020-11,10,7,0.6211928934010152,0.6073657278620214,medium,0.7
2020-12,18,13,0.6327457264957265,0.5569725364050843,medium,0.7222222222222222
2021-01,180,55,0.2951254147857209,0.26039441709770417,medium,0.3055555555555556
2021-02,180,75,0.3958107605000669,0.3565220944589809,medium,0.4166666666666667
2021-03,180,53,0.26626138510283526,0.2483517646314283,medium,0.29444444444444445
2021-04,180,80,0.4116384769710638,0.3618667821555699,medium,0.4444444444444444
2021-05,180,71,0.3816716304080761,0.33340569959185873,medium,0.39444444444444443
2021-06,180,70,0.36654819383345205,0.3319168583915631,medium,0.3888888888888889
2021-07,180,68,0.3606178623839983,0.33177202275330964,medium,0.37777777777777777
2021-08,180,78,0.40185726605737054,0.36719821311239076,medium,0.43333333333333335
2021-09,180,80,0.3961548056656613,0.37354247724149026,medium,0.4444444444444444
2021-10,180,74,0.37999363334178965,0.3397650473415362,medium,0.4111111111111111
2021-11,180,69,0.3645790133302468,0.31014141994736055,medium,0.38333333333333336
2021-12,180,73,0.3718785016984913,0.32531558582550546,medium,0.40555555555555556
